x,y,z
1.999143966616338,1.007605106345906,1.4892169055318927
2.299141066434275,1.0068448200068756,1.4902948969555092
2.599138166252212,1.006084533667845,1.4913728883791255
2.8991352660701493,1.0053242473288146,1.4924508798027418
3.199132365888086,1.004563960989784,1.4935288712263581
3.4991294657060235,1.0038036746507537,1.4946068626499747
3.7991265655239603,1.0030433883117231,1.495684854073591
4.099123665341898,1.0022831019726928,1.4967628454972073
4.399120765159834,1.0015228156336622,1.4978408369208236
4.699117864977771,1.0007625292946316,1.4989188283444401
4.999114964795709,1.0000022429556013,1.4999968197680564
5.0,1.0,1.5
5.0,1.0,1.5
5.0,1.0,1.5
5.0,1.0,1.5
5.0,1.0,1.5
5.0,1.0,1.5
5.0,1.0,1.5
5.0,1.0,1.5
5.0,1.0,1.5
