t,e,n,u
5.0715015150000005,-0.015174571424722672,-0.03288806974887848,-0.03716309368610382
5.080508977,-0.015304227359592915,-0.03294242545962334,-0.03692634403705597
5.4238683110000006,-0.015557883307337761,-0.03304923698306084,-0.03647056221961975
5.4312219520000005,-0.015695810317993164,-0.03309221938252449,-0.03619827330112457
5.443517612,-0.01583174243569374,-0.03313466161489487,-0.03593514859676361
5.452110255,-0.015965569764375687,-0.03317677602171898,-0.03568074107170105
5.750471104000001,-0.016097307205200195,-0.033218491822481155,-0.03543461859226227
5.761417727,-0.016382355242967606,-0.03326721861958504,-0.034868210554122925
5.771769988,-0.016521528363227844,-0.03329145163297653,-0.03459814190864563
6.0813705570000005,-0.016658592969179153,-0.03331537917256355,-0.03434079885482788
6.091779023,-0.016819234937429428,-0.033328134566545486,-0.03404010832309723
6.100567668,-0.01713240146636963,-0.033353980630636215,-0.033466845750808716
6.402102716000001,-0.017285361886024475,-0.03336716070771217,-0.0331932008266449
6.409631659,-0.017456144094467163,-0.03336562588810921,-0.03286409378051758
6.420873998,-0.01762450858950615,-0.03336471691727638,-0.032544657588005066
6.431233679,-0.01779010519385338,-0.03336460515856743,-0.03224664926528931
6.74785737,-0.01812858320772648,-0.03334442153573036,-0.03162452578544617
6.756523276,-0.018301887437701225,-0.0333249531686306,-0.031301096081733704
6.767570766,-0.01847253367304802,-0.03330637887120247,-0.030986875295639038
7.121184662,-0.0188064593821764,-0.033241983503103256,-0.030340582132339478
7.131736844000001,-0.018969975411891937,-0.03319670632481575,-0.030009016394615173
7.140146433000001,-0.019130725413560867,-0.03315241262316704,-0.029704496264457703
7.4381204720000005,-0.01928906887769699,-0.03310895711183548,-0.029408365488052368
7.446090034,-0.019459890201687813,-0.033034127205610275,-0.02907848358154297
7.459120191,-0.01979551650583744,-0.032888300716876984,-0.028446733951568604
7.467746778,-0.01996062509715557,-0.032817523926496506,-0.02814421057701111
7.780667151,-0.020141977816820145,-0.032728925347328186,-0.027809828519821167
7.789608742,-0.02049773372709751,-0.032556984573602676,-0.027156159281730652
7.800928897,-0.020671917125582695,-0.032473377883434296,-0.026843681931495667
8.129191102,-0.02084372378885746,-0.03239121288061142,-0.026540234684944153
8.139241979000001,-0.021025260910391808,-0.03227521479129791,-0.02621479332447052
8.148462598,-0.021381773054599762,-0.032048825174570084,-0.025590702891349792
8.466088946000001,-0.0215564277023077,-0.031938839703798294,-0.025291934609413147
8.476424319000001,-0.021732591092586517,-0.03179081901907921,-0.024980708956718445
8.485327984000001,-0.021906813606619835,-0.03164568915963173,-0.024678200483322144
8.494064700000001,-0.022249117493629456,-0.031363118439912796,-0.024097859859466553
8.818660504,-0.022414417937397957,-0.03119371458888054,-0.023781076073646545
8.83218984,-0.022577576339244843,-0.03102673776447773,-0.023472905158996582
8.841121463,-0.022738592699170113,-0.030862458050251007,-0.023173078894615173
9.180698407000001,-0.02289760857820511,-0.030700871720910072,-0.022891998291015625
9.190032610000001,-0.023220131173729897,-0.030347852036356926,-0.022274672985076904
9.198244023,-0.02337888441979885,-0.030175400897860527,-0.021978646516799927
9.542556678,-0.023535804823040962,-0.03000546619296074,-0.021690741181373596
9.549842494,-0.02384807914495468,-0.029637841507792473,-0.021088019013404846
9.565987080000001,-0.024001725018024445,-0.02945854887366295,-0.02079842984676361
9.870576653,-0.024154353886842728,-0.029282035306096077,-0.020503759384155273
9.883467166,-0.02431001514196396,-0.029089635238051414,-0.020196005702018738
9.891382576,-0.024617718532681465,-0.02871391735970974,-0.01960626244544983
9.90328474,-0.02476966753602028,-0.028531067073345184,-0.019323348999023438
10.211061159,-0.024921029806137085,-0.028353899717330933,-0.019032850861549377
10.222024357,-0.02507164143025875,-0.0281788669526577,-0.01875026524066925
