t,cost
104.69347528200001,16380.90401881285
104.906912661,16380.90401881285
105.118347692,16444.421654923866
105.323370881,16474.91928013811
105.528355203,16482.306726204555
105.72952312800001,16517.802614969976
105.93089059900001,16539.994766331107
106.133652713,16535.57071343522
106.342423263,16463.57177905652
106.54979128400001,16314.67388157209
106.750908889,16267.8166515933
106.950419165,16070.460982441904
107.151186734,15735.240708441199
107.345235606,15663.803814533205
107.546927986,15554.044876213084
107.737729704,15453.602171460674
107.93700983100001,15403.106867584816
108.121805726,15358.869684545392
108.307577155,15321.381993680921
108.499221054,15324.311183397027
108.684954488,15337.962054827067
108.87421941100001,15324.303139342965
109.06058189000001,15368.412498176263
109.250713812,15379.720877347152
109.433739767,14997.511452512686
109.64732453900001,15551.967823515595
109.853311567,15579.003908649462
110.03552292600001,15098.684382487358
110.23447103100001,15883.60552738827
110.42057570300001,15180.223155832824
110.64094777800001,17139.375255214487
110.84208048900001,17139.375255214487
111.055726879,17134.485889411644
111.258205042,17420.68843307655
111.45570786500001,17332.6958202286
111.65421300700001,17406.871010596726
111.8488389,17516.92180871968
112.04769870400001,17668.555902132903
112.24126856500001,15946.092178048184
112.46185443600001,18181.896824089028
112.68530492000001,18514.903305129792
112.90129574100001,16277.937845363058
113.11112950200001,18992.44635940113
113.32077553100001,19564.25962240472
113.52876959100001,19631.996614395714
113.739841584,20068.064950575663
113.96146854800001,20669.26768772165
114.167409137,20838.083220959026
114.385938605,20972.395329493593
114.613203424,22235.952566053387
114.844287191,23217.545609886194
115.08498171800001,23167.535501453163
115.33173156100001,23583.31853036382
115.557678631,24511.67298148989
115.80146246700001,25681.852482899278
116.042165776,25887.456294052932
116.28067954500001,26197.467644976758
116.517952163,27987.103683338315
116.769791706,28427.49139070524
117.03424078,29667.045262481846
117.278158855,30364.018157980085
117.51426158800001,30129.781352988346
117.75595194700001,31983.667104905988
118.00986087400001,33119.57208752475
118.265765259,34134.70897479214
118.522484868,35381.894263502276
118.784784568,35391.48911602508
119.05042278600001,36471.961383604925
119.30303292100001,37175.23626967198
119.559164127,38904.10586566159
119.81437803600001,40032.96434699353
120.07212571800001,46062.267883738044
120.31594168800001,55200.46958021224
120.43372149700001,15148.245244994136
120.545207371,15192.250784451659
120.74308962100001,15291.799988656647
120.94234185200001,15315.127913835033
121.144211118,15346.780400230478
121.35550313300001,15346.780400230478
121.556826728,15378.959200087427
121.74391026900001,15403.475903145893
121.950792512,15411.726815768672
122.148436114,15445.05177057525
122.33860079700001,15470.389442214966
122.54464176200001,15478.89323869428
122.735842128,15521.794875824029
122.94799994700001,15530.481962351176
123.14513608700001,15556.600749810625
123.34488262900001,15582.94992984525
123.541548226,15600.670842917705
123.748449303,15627.344615571155
123.93998765900001,15663.337620445682
124.13792854200001,15663.337620445682
124.351160448,15695.044077622804
124.541981613,15731.599627739657
124.76311900600001,15731.599627739657
124.94095548400001,15761.1952103245
125.14148235100001,15783.512680778094
125.337970084,15783.512680778094
125.54318606100001,15828.501499432627
125.74903813600001,15851.18131147408
125.946886171,15851.18131147408
126.14110565000001,15881.70755821072
126.344111752,15904.737987610553
126.537808835,15912.411018788642
126.74225516700001,15950.9681296568
126.94168629100001,15950.9681296568
127.14670095400001,15981.939877034623
127.345079792,16005.20440288586
127.55019742700001,16005.20440288586
127.74405610100001,16036.267611884836
127.94410855800001,16075.103765568247
128.137943779,16075.103765568247
128.346400749,16106.022008894723
128.53953741700002,16133.62970376568
128.74133451900002,16133.62970376568
128.949709472,16164.645649422275
129.137743913,16177.059629834177
