t,e,n,u
102.437724642,2.444958448410034,0.9774258136749268,1.4526755809783936
102.590570834,2.4549171924591064,0.9773135781288147,1.4532904624938965
102.60225786500001,2.459886074066162,0.9772747755050659,1.453607201576233
102.614752518,2.464853525161743,0.9772375822067261,1.4539321660995483
102.76068103700001,2.474785089492798,0.977168083190918,1.4545704126358032
102.76948053100001,2.479740858078003,0.9771518707275391,1.4548794031143188
102.783239859,2.4846956729888916,0.9771372675895691,1.455184817314148
102.789482968,2.489649534225464,0.9771244525909424,1.4554868936538696
102.95180124000001,2.4946024417877197,0.9771133661270142,1.4557852745056152
102.96028562100001,2.5044546127319336,0.9771350622177124,1.4563801288604736
102.97182539500001,2.5093796253204346,0.977146327495575,1.4566760063171387
103.12726072100001,2.5143039226531982,0.9771592020988464,1.4569677114486694
103.13848848100001,2.5192275047302246,0.9771734476089478,1.457255482673645
103.146793496,2.5290496349334717,0.9772278070449829,1.4578248262405396
103.302520919,2.533958911895752,0.9772564172744751,1.4581043720245361
103.310296312,2.538867712020874,0.9772862792015076,1.4583805799484253
103.32242642000001,2.5437755584716797,0.9773164987564087,1.4586482048034668
103.330668321,2.548682451248169,0.9773449897766113,1.4589133262634277
103.48587413300001,2.558492422103882,0.97740638256073,1.4594361782073975
103.49429394200001,2.563383102416992,0.9774436950683594,1.4596900939941406
103.50584376200001,2.5682730674743652,0.9774821996688843,1.4599415063858032
103.65984409400001,2.5780508518218994,0.9775618314743042,1.4604463577270508
103.673903597,2.582918882369995,0.9776006937026978,1.4606950283050537
103.68018546,2.5877861976623535,0.9776374697685242,1.4609408378601074
103.836052636,2.5975186824798584,0.9777126312255859,1.4614245891571045
103.84365064500001,2.6023595333099365,0.9777612686157227,1.461651086807251
103.85521617500001,2.6071999073028564,0.9778106808662415,1.4618752002716064
104.01055427700001,2.6120402812957764,0.9778602719306946,1.462091088294983
104.02309775500001,2.6168806552886963,0.977910041809082,1.4623048305511475
104.03107647700001,2.6216986179351807,0.9779608845710754,1.462506651878357
104.042807287,2.6313347816467285,0.9780616164207458,1.4629052877426147
104.191003421,2.636153221130371,0.978111207485199,1.4631015062332153
104.202460649,2.6409454345703125,0.9781749844551086,1.4632939100265503
104.211541423,2.6505324840545654,0.9783017039299011,1.4636718034744263
