t,e,n,u
0.0,0.15537068247795105,-0.03300395980477333,-0.010312536731362343
0.00773652,0.15805208683013916,-0.033053670078516006,-0.010407625697553158
0.019029388,0.16065949201583862,-0.033057477325201035,-0.010457104071974754
0.02979419,0.16316363215446472,-0.03301529586315155,-0.010467592626810074
0.191363353,0.16562534868717194,-0.03295617550611496,-0.010448437184095383
0.19949718600000002,0.17057347297668457,-0.03271978348493576,-0.010451488196849823
0.21097801900000002,0.1729588806629181,-0.03250487893819809,-0.010425320826470852
0.36751463100000004,0.17525547742843628,-0.032205235213041306,-0.01029564905911684
0.38104189600000005,0.17756710946559906,-0.03188939392566681,-0.010137291625142097
0.389008872,0.1820463091135025,-0.031060582026839256,-0.009774609468877316
0.549445747,0.18413546681404114,-0.030607987195253372,-0.00957045890390873
0.5572647620000001,0.18622775375843048,-0.03027520887553692,-0.009293739683926105
0.56866541,0.18826188147068024,-0.029959024861454964,-0.008986546657979488
0.577310344,0.19021643698215485,-0.029658082872629166,-0.008612980134785175
0.7338900700000001,0.19416657090187073,-0.02916930802166462,-0.007631348446011543
0.741427755,0.19603058695793152,-0.028833432123064995,-0.007044882979243994
0.752874459,0.19778700172901154,-0.02848989889025688,-0.00631716288626194
0.9250328830000001,0.19951654970645905,-0.028025606647133827,-0.005559192039072514
0.934929152,0.20246930420398712,-0.026990804821252823,-0.003787597408518195
0.9434522340000001,0.2038389891386032,-0.026471460238099098,-0.0028202394023537636
1.1036513300000002,0.20506836473941803,-0.025837479159235954,-0.0017295335419476032
1.1112443250000001,0.20624902844429016,-0.02513384260237217,-0.0005625880439765751
1.1230996480000002,0.20823818445205688,-0.023554282262921333,0.0017464377451688051
1.1315089390000002,0.2091389149427414,-0.02267143316566944,0.0029852448496967554
1.2928758870000001,0.20982645452022552,-0.021773001179099083,0.004306215792894363
1.3011460910000001,0.2109026461839676,-0.01974618434906006,0.007075785659253597
1.3139572240000001,0.21131807565689087,-0.018682660534977913,0.008526289835572243
1.4701406760000002,0.21158365905284882,-0.01757059618830681,0.010031339712440968
1.481380868,0.21170784533023834,-0.01640171743929386,0.01162688247859478
1.494474915,0.21175804734230042,-0.015288513153791428,0.013174755498766899
1.6491255420000002,0.21169716119766235,-0.012868250720202923,0.016298752278089523
1.6570226860000001,0.21144843101501465,-0.011596853844821453,0.01797422021627426
1.6696399700000002,0.2111539989709854,-0.01034267246723175,0.01956810988485813
1.6779497470000002,0.21024645864963531,-0.007726067211478949,0.02287045679986477
1.830762747,0.209598109126091,-0.006362521089613438,0.024550581350922585
1.8391104800000002,0.2088872194290161,-0.0049847024492919445,0.02625979669392109
1.8531573700000001,0.20808856189250946,-0.0036155676934868097,0.027811037376523018
2.002064915,0.20724724233150482,-0.002221684204414487,0.029440362006425858
2.0143943970000002,0.20523293316364288,0.0007076063193380833,0.03274119272828102
2.026175581,0.204109787940979,0.002167093101888895,0.03445734456181526
2.180689783,0.20297251641750336,0.003634535940364003,0.036134060472249985
2.188618119,0.20173785090446472,0.005136569030582905,0.03778901696205139
2.200057907,0.19891846179962158,0.008055449463427067,0.04113554209470749
2.3519894320000003,0.19741655886173248,0.009543287567794323,0.0428389273583889
2.3645573200000003,0.19582796096801758,0.011111917905509472,0.04447266831994057
2.371643856,0.19414906203746796,0.0126706063747406,0.04610949754714966
2.383308109,0.19072583317756653,0.015569520182907581,0.04933011904358864
2.5338769500000002,0.18886078894138336,0.017023036256432533,0.05084583908319473
2.545555567,0.18697412312030792,0.01847948506474495,0.052435748279094696
2.557613855,0.183100625872612,0.02137671411037445,0.05561007931828499
2.7134287880000003,0.1809719353914261,0.02284594066441059,0.0571865476667881
2.722115489,0.17878137528896332,0.02430068328976631,0.058728862553834915
2.733512371,0.17662228643894196,0.025709358975291252,0.06026356294751167
2.891513894,0.1721901148557663,0.028440406545996666,0.06324338912963867
2.902766852,0.16987156867980957,0.029802020639181137,0.06465496867895126
2.9128579450000003,0.1675376445055008,0.03111204132437706,0.06613828241825104
3.077090762,0.1627805531024933,0.03357778862118721,0.06889820098876953
3.0848914290000002,0.16030918061733246,0.03485596925020218,0.07036978006362915
3.096616442,0.1577850729227066,0.0360579714179039,0.0718018040060997
3.106761457,0.15524770319461823,0.037260912358760834,0.07321549206972122
3.2562770060000004,0.15266382694244385,0.03845970332622528,0.07460881024599075
3.2648971380000003,0.1474328190088272,0.04077151417732239,0.07730703800916672
3.276468339,0.1448001116514206,0.04194913059473038,0.07862016558647156
3.432236688,0.14215245842933655,0.0430438257753849,0.07988537102937698
3.443502891,0.1393825262784958,0.044104017317295074,0.08115863800048828
3.454921841,0.13372768461704254,0.046164628118276596,0.0836530327796936
3.606585454,0.13088777661323547,0.047156307846307755,0.08487320691347122
3.615902465,0.1279989629983902,0.04807960242033005,0.08610860258340836
3.6259073620000004,0.12512348592281342,0.04895196855068207,0.08730988949537277
3.634092814,0.11928191781044006,0.05067451670765877,0.08962410688400269
3.7936792300000004,0.11626001447439194,0.051511477679014206,0.09078184515237808
3.80194474,0.11328137665987015,0.05224285274744034,0.09198127686977386
3.8146638060000004,0.11022400110960007,0.05295791104435921,0.09313324838876724
3.9683421950000004,0.10717305541038513,0.053656596690416336,0.09419482201337814
3.9797814860000003,0.10112307965755463,0.054908446967601776,0.09639954566955566
3.988096855,0.09803629666566849,0.05548037216067314,0.09754100441932678
4.149895071,0.09187493473291397,0.05657324939966202,0.09949357807636261
4.160615686,0.08882313221693039,0.05703665316104889,0.10046100616455078
4.170827117,0.08577723056077957,0.057490259408950806,0.10134604573249817
